Image,Ground_Truth,Predicted,Error,Abs_Error,Accuracy_%,Filter,Threshold,Cluster
30.jpg,30,17,-13,13,56.67,gaussian,adaptive,kmeans
31.jpg,31,24,-7,7,77.42,gaussian,adaptive,kmeans
32.jpg,32,25,-7,7,78.13,gaussian,adaptive,kmeans
33.jpg,33,29,-4,4,87.88,gaussian,adaptive,kmeans
34.jpg,34,28,-6,6,82.35,gaussian,adaptive,kmeans
35.jpg,35,29,-6,6,82.86,gaussian,adaptive,kmeans
36.jpg,36,29,-7,7,80.56,gaussian,adaptive,kmeans
37.jpg,37,30,-7,7,81.08,gaussian,adaptive,kmeans
38.jpg,38,31,-7,7,81.58,gaussian,adaptive,kmeans
39.jpg,39,33,-6,6,84.62,gaussian,adaptive,kmeans
40.jpg,40,33,-7,7,82.5,gaussian,adaptive,kmeans
41.jpg,41,34,-7,7,82.93,gaussian,adaptive,kmeans
42.jpg,42,35,-7,7,83.33,gaussian,adaptive,kmeans
43.jpg,43,36,-7,7,83.72,gaussian,adaptive,kmeans
44.jpg,44,37,-7,7,84.09,gaussian,adaptive,kmeans
45.jpg,45,38,-7,7,84.44,gaussian,adaptive,kmeans
46.jpg,46,38,-8,8,82.61,gaussian,adaptive,kmeans
47.jpg,47,36,-11,11,76.6,gaussian,adaptive,kmeans
48.jpg,48,38,-10,10,79.17,gaussian,adaptive,kmeans
49.jpg,49,38,-11,11,77.55,gaussian,adaptive,kmeans
50.jpg,50,35,-15,15,70.0,gaussian,adaptive,kmeans
51.jpg,51,39,-12,12,76.47,gaussian,adaptive,kmeans
52.jpg,52,37,-15,15,71.15,gaussian,adaptive,kmeans
53.jpg,53,23,-30,30,43.4,gaussian,adaptive,kmeans
54.jpg,54,24,-30,30,44.44,gaussian,adaptive,kmeans
55.jpg,55,22,-33,33,40.0,gaussian,adaptive,kmeans
56.jpg,56,30,-26,26,53.57,gaussian,adaptive,kmeans
57.jpg,57,29,-28,28,50.88,gaussian,adaptive,kmeans
58.jpg,58,31,-27,27,53.45,gaussian,adaptive,kmeans
59.jpg,59,31,-28,28,52.54,gaussian,adaptive,kmeans
60.jpg,60,31,-29,29,51.67,gaussian,adaptive,kmeans
61.jpg,61,35,-26,26,57.38,gaussian,adaptive,kmeans
62.jpg,62,36,-26,26,58.06,gaussian,adaptive,kmeans
63.jpg,63,36,-27,27,57.14,gaussian,adaptive,kmeans
64.jpg,64,34,-30,30,53.13,gaussian,adaptive,kmeans
65.jpg,65,37,-28,28,56.92,gaussian,adaptive,kmeans
67.jpg,67,38,-29,29,56.72,gaussian,adaptive,kmeans
68.jpg,68,38,-30,30,55.88,gaussian,adaptive,kmeans
69.jpg,69,39,-30,30,56.52,gaussian,adaptive,kmeans
70.jpg,70,44,-26,26,62.86,gaussian,adaptive,kmeans
71.jpg,71,44,-27,27,61.97,gaussian,adaptive,kmeans
72.jpg,72,45,-27,27,62.5,gaussian,adaptive,kmeans
73.jpg,73,44,-29,29,60.27,gaussian,adaptive,kmeans
74.jpg,74,19,-55,55,25.68,gaussian,adaptive,kmeans
75.jpg,75,22,-53,53,29.33,gaussian,adaptive,kmeans
76.jpg,76,23,-53,53,30.26,gaussian,adaptive,kmeans
77.jpg,77,25,-52,52,32.47,gaussian,adaptive,kmeans
78.jpg,78,27,-51,51,34.62,gaussian,adaptive,kmeans
79.jpg,79,23,-56,56,29.11,gaussian,adaptive,kmeans
80.jpg,80,37,-43,43,46.25,gaussian,adaptive,kmeans
81.jpg,81,46,-35,35,56.79,gaussian,adaptive,kmeans
82.jpg,82,44,-38,38,53.66,gaussian,adaptive,kmeans
83.jpg,83,43,-40,40,51.81,gaussian,adaptive,kmeans
84.jpg,84,39,-45,45,46.43,gaussian,adaptive,kmeans
85.jpg,85,43,-42,42,50.59,gaussian,adaptive,kmeans
86.jpg,86,47,-39,39,54.65,gaussian,adaptive,kmeans
87.jpg,87,45,-42,42,51.72,gaussian,adaptive,kmeans
88.jpg,88,46,-42,42,52.27,gaussian,adaptive,kmeans
89.jpg,89,54,-35,35,60.67,gaussian,adaptive,kmeans
90.jpg,90,44,-46,46,48.89,gaussian,adaptive,kmeans
91.jpg,91,56,-35,35,61.54,gaussian,adaptive,kmeans
92.jpg,92,38,-54,54,41.3,gaussian,adaptive,kmeans
93.jpg,93,52,-41,41,55.91,gaussian,adaptive,kmeans
94.jpg,94,41,-53,53,43.62,gaussian,adaptive,kmeans
95.jpg,95,43,-52,52,45.26,gaussian,adaptive,kmeans
96.jpg,96,44,-52,52,45.83,gaussian,adaptive,kmeans
97.jpg,97,43,-54,54,44.33,gaussian,adaptive,kmeans
98.jpg,98,3,-95,95,3.06,gaussian,otsu,kmeans
99.jpg,99,6,-93,93,6.06,gaussian,otsu,kmeans
100.jpg,100,7,-93,93,7.0,gaussian,otsu,kmeans
101.jpg,101,7,-94,94,6.93,gaussian,otsu,kmeans
102.jpg,102,8,-94,94,7.84,gaussian,otsu,kmeans
103.jpg,103,8,-95,95,7.77,gaussian,otsu,kmeans
104.jpg,104,7,-97,97,6.73,gaussian,otsu,kmeans
105.jpg,105,7,-98,98,6.67,gaussian,otsu,kmeans
106.jpg,106,7,-99,99,6.6,gaussian,otsu,kmeans
107.jpg,107,6,-101,101,5.61,gaussian,otsu,kmeans
109.jpg,109,6,-103,103,5.5,gaussian,otsu,kmeans
110.jpg,110,9,-101,101,8.18,gaussian,otsu,kmeans
111.jpg,111,12,-99,99,10.81,gaussian,otsu,kmeans
112.jpg,112,11,-101,101,9.82,gaussian,otsu,kmeans
113.jpg,113,12,-101,101,10.62,gaussian,otsu,kmeans
114.jpg,114,13,-101,101,11.4,gaussian,otsu,kmeans
115.jpg,115,14,-101,101,12.17,gaussian,otsu,kmeans
116.jpg,116,14,-102,102,12.07,gaussian,otsu,kmeans
118.jpg,118,18,-100,100,15.25,gaussian,otsu,kmeans
119.jpg,119,18,-101,101,15.13,gaussian,otsu,kmeans
120.jpg,120,21,-99,99,17.5,gaussian,otsu,kmeans
121.jpg,121,24,-97,97,19.83,gaussian,otsu,kmeans
122.jpg,122,25,-97,97,20.49,gaussian,otsu,kmeans
123.jpg,123,21,-102,102,17.07,gaussian,otsu,kmeans
124.jpg,124,16,-108,108,12.9,gaussian,otsu,kmeans
125.jpg,125,21,-104,104,16.8,gaussian,otsu,kmeans
126.jpg,126,22,-104,104,17.46,gaussian,otsu,kmeans
127.jpg,127,15,-112,112,11.81,gaussian,otsu,kmeans
128.jpg,128,14,-114,114,10.94,gaussian,otsu,kmeans
129.jpg,129,15,-114,114,11.63,gaussian,otsu,kmeans
130.jpg,130,17,-113,113,13.08,gaussian,otsu,kmeans
131.jpg,131,15,-116,116,11.45,gaussian,otsu,kmeans
132.jpg,132,14,-118,118,10.61,gaussian,otsu,kmeans
133.jpg,133,15,-118,118,11.28,gaussian,otsu,kmeans
134.jpg,134,13,-121,121,9.7,gaussian,otsu,kmeans
135.jpg,135,21,-114,114,15.56,gaussian,otsu,kmeans
136.jpg,136,22,-114,114,16.18,gaussian,otsu,kmeans
137.jpg,137,22,-115,115,16.06,gaussian,otsu,kmeans
138.jpg,138,21,-117,117,15.22,gaussian,otsu,kmeans
139.jpg,139,26,-113,113,18.71,gaussian,otsu,kmeans
140.jpg,140,26,-114,114,18.57,gaussian,otsu,kmeans
141.jpg,141,24,-117,117,17.02,gaussian,otsu,kmeans
142.jpg,142,27,-115,115,19.01,gaussian,otsu,kmeans
143.jpg,143,25,-118,118,17.48,gaussian,otsu,kmeans
144.jpg,144,25,-119,119,17.36,gaussian,otsu,kmeans
